Intento,Score,std_dev,Reward_Dist,Reward_Ctrl,Reward_Near_Object,Reward_Contact,Episode_Length,TD_Error,Actor_Loss,Critic_Loss,Policy_Gradients
475,-43.41310856370654,0.2,-0.3062635246249384,-0.060880073204636564,-0.06698748780749049,0.0,100,0.0,0.0,0.0,0.0
475,-37.40949920032668,0.2,-0.2624477533873581,-0.04193723721057177,-0.06971000140533705,0.0,100,0.0,0.0,0.0,0.0
475,-34.72571875879422,0.2,-0.23455488931795032,-0.03694824279099703,-0.07575405547899483,0.0,100,0.0,0.0,0.0,0.0
475,-35.63237967424796,0.2,-0.24129149032822128,-0.03954135884717107,-0.07549094756708728,0.0,100,0.0,0.0,0.0,0.0
475,-40.45676240943173,0.2,-0.31644853911717014,-0.04834349643811584,-0.0397755885390314,0.0,100,0.0,0.0,0.0,0.0
500,-30.94561006514363,0.2,-0.1997676503513683,-0.05000179323181511,-0.059686657068252984,0.0,100,0.0,0.0,0.0,4.176538896560669
500,-32.35133605322081,0.2,-0.21185789555659038,-0.04173917143046856,-0.06991629354514932,0.0,100,0.0,0.0,0.0,4.176538896560669
500,-39.285831445550336,0.2,-0.28693688830157443,-0.053642667621374145,-0.05227875853255478,0.0,100,0.0,0.0,0.0,4.176538896560669
500,-26.802866657460807,0.2,-0.1783231971296953,-0.04767132955789565,-0.0420341398870172,0.0,100,0.0,0.0,0.0,4.176538896560669
500,-42.372269224604985,0.2,-0.3265191830883611,-0.039686264384537935,-0.05751724477315073,0.0,100,0.0,0.0,0.0,4.176538896560669
525,-30.46100640308832,0.2,-0.17951687911745662,-0.05996437977254392,-0.06512880514088269,0.0,100,0.0,0.0,0.0,4.176538896560669
525,-29.535795707477636,0.2,-0.19654446575179524,-0.052542027413845054,-0.046271463909136036,0.0,100,0.0,0.0,0.0,4.199727029800415
525,-29.78220561452017,0.2,-0.19501639147860797,-0.053729342162609106,-0.04907632250398456,0.0,100,0.0,0.0,0.0,4.225609440803527
525,-32.33557650032156,0.2,-0.2406179262933131,-0.04903560781106354,-0.03370223089883897,0.0,100,0.0,0.0,0.0,4.225623664855957
525,-30.27961249479892,0.2,-0.19830683072571734,-0.04265875114500523,-0.061830543077266584,0.0,100,0.0,0.0,0.0,4.225623664855957
550,-35.31531368818144,0.2,-0.25721094544560646,-0.05197723844647408,-0.04396495298973388,0.0,100,0.0,0.0,0.0,4.205595202445984
550,-38.9163554360943,0.2,-0.2889272565210171,-0.042631448827683924,-0.05760484901224216,0.0,100,0.0,0.0,0.0,4.205595202445984
550,-36.58435596839859,0.2,-0.24703103811245153,-0.05380279728770256,-0.06500972428383173,0.0,100,0.0,0.0,0.0,4.205595202445984
550,-43.89110422121751,0.2,-0.32225278092772297,-0.04971912594884635,-0.06693913533560558,0.0,100,0.0,0.0,0.0,4.205595202445984
550,-32.07282796178088,0.2,-0.22591522379813303,-0.05088792859762908,-0.043925127222046625,0.0,100,0.0,0.0,0.0,4.205595202445984
575,-47.05346599189603,0.2,-0.3079988212244231,-0.07156349446624516,-0.09097234422829192,0.0,100,0.0,0.0,0.0,4.303902740478516
575,-37.017057435101336,0.2,-0.20071988292363713,-0.07394054619967937,-0.09551014522769684,0.0,100,0.0,0.0,0.0,4.314124040603637
575,-41.57907615308782,0.2,-0.2910598144939085,-0.065586027354002,-0.05914491968296778,0.0,100,0.0,0.0,0.0,4.314262132644654
575,-38.49740319302551,0.2,-0.20574129553611853,-0.08119156150519849,-0.09804117488893828,0.0,100,0.0,0.0,0.0,4.318868961334228
575,-41.88679580011718,0.2,-0.18474913768264123,-0.12313940235972404,-0.11097941795880634,0.0,100,0.0,0.0,0.0,4.344134569168091
600,-44.31592985124871,0.2,-0.3153950119077922,-0.07079389700293542,-0.05697038960175992,0.0,100,0.0,0.0,0.0,4.455348687171936
600,-45.11008040434388,0.2,-0.25689611567660736,-0.08886750796437265,-0.1053371804024588,0.0,100,0.0,0.0,0.0,4.456358509063721
600,-34.74960899596287,0.2,-0.18084627633958614,-0.08714711996167901,-0.07950269365836364,0.0,100,0.0,0.0,0.0,4.456358613967896
600,-34.85373653786967,0.2,-0.17809334394838205,-0.092864299595356,-0.07757972183495876,0.0,100,0.0,0.0,0.0,4.456358613967896
600,-42.6380256955198,0.2,-0.2577749604604672,-0.08420300845801831,-0.08440228803671204,0.0,100,0.0,0.0,0.0,4.456358613967896
625,-45.08409390257712,0.2,-0.3067545849786901,-0.06711598318815232,-0.07697037085892876,0.0,100,0.0,0.0,0.0,4.438722124099732
625,-34.954980450857946,0.2,-0.20033438295327755,-0.06377239409089089,-0.0854430274644109,0.0,100,0.0,0.0,0.0,4.438722124099732
625,-36.620328161967954,0.2,-0.184761424994862,-0.10141653822362423,-0.08002531840119331,0.0,100,0.0,0.0,0.0,4.438722124099732
625,-38.018763158342274,0.2,-0.1966694821648392,-0.08400883482396602,-0.09950931459461755,0.0,100,0.0,0.0,0.0,4.438722124099732
625,-35.94206922596464,0.2,-0.1890445432616582,-0.07880974886566401,-0.09156640013232417,0.0,100,0.0,0.0,0.0,4.438722124099732
650,-36.428011014207875,0.2,-0.2035843964007834,-0.07154873967170715,-0.08914697406958826,0.0,100,0.0,0.0,0.0,4.438722124099732
650,-38.57525127970653,0.2,-0.24538373207043107,-0.06099709907919169,-0.07937168164744235,0.0,100,0.0,0.0,0.0,4.438722124099732
650,-36.38264519755389,0.2,-0.21630038149555886,-0.0709445924833417,-0.07658147799663827,0.0,100,0.0,0.0,0.0,4.438722124099732
650,-43.45916165869622,0.2,-0.2673329702189295,-0.09399253010749815,-0.07326611626053475,0.0,100,0.0,0.0,0.0,4.438722124099732
650,-36.3799701874319,0.2,-0.22922216124543918,-0.06417623390257358,-0.07040130672630603,0.0,100,0.0,0.0,0.0,4.438722124099732
675,-41.836905530581554,0.2,-0.29321126629958,-0.0570222636088729,-0.0681355253973627,0.0,100,0.0,0.0,0.0,4.417442831993103
675,-34.4177105207258,0.2,-0.20414400318898387,-0.05571682019531726,-0.08431628182295685,0.0,100,0.0,0.0,0.0,4.416842737197876
675,-45.044188170853076,0.2,-0.28988005620458335,-0.08918267798423767,-0.07137914751970974,0.0,100,0.0,0.0,0.0,4.416842679977417
675,-35.1384876111365,0.2,-0.19933634254349294,-0.06582218810915946,-0.08622634545871255,0.0,100,0.0,0.0,0.0,4.416842679977417
675,-43.82673918142998,0.2,-0.2716871273463611,-0.08149763160943985,-0.08508263285849874,0.0,100,0.0,0.0,0.0,4.416842679977417
700,-43.79578118055193,0.2,-0.3011527190395116,-0.0646601876989007,-0.07214490506710657,0.0,100,0.0,0.0,0.0,4.416842679977417
700,-37.897101904963485,0.2,-0.23493872136967742,-0.06285556462407112,-0.08117673305588614,0.0,100,0.0,0.0,0.0,4.416842679977417
700,-35.889291716526785,0.2,-0.20088230456405878,-0.06876006058603527,-0.0892505520151739,0.0,100,0.0,0.0,0.0,4.416842679977417
700,-38.9945915339866,0.2,-0.21131217365720445,-0.08381196348369119,-0.09482177819897031,0.0,100,0.0,0.0,0.0,4.416842679977417
700,-36.92293340575627,0.2,-0.2342566797209386,-0.05591516174376012,-0.07905749259286404,0.0,100,0.0,0.0,0.0,4.416842679977417
725,-50.232878805766475,0.2,-0.3188210797497552,-0.10390371939539907,-0.07960398891251053,0.0,100,0.0,0.0,0.0,4.446122488975525
725,-41.795607499619834,0.2,-0.20979533207245363,-0.10327487027645113,-0.10488587264729363,0.0,100,0.0,0.0,0.0,4.447298140525818
725,-47.65063569772918,0.2,-0.28006253749826626,-0.11474110264331103,-0.08170271683571448,0.0,100,0.0,0.0,0.0,4.447298197746277
725,-35.43060224772074,0.2,-0.20139280282716984,-0.0838720269650221,-0.06904119268501545,0.0,100,0.0,0.0,0.0,4.447298197746277
725,-45.2565241654059,0.2,-0.2965047335974592,-0.079930949062109,-0.07612955899449071,0.0,100,0.0,0.0,0.0,4.447298197746277
750,-41.9180496995665,0.2,-0.3044228150634912,-0.04885720710456372,-0.0659004748276101,0.0,100,0.0,0.0,0.0,4.394194707870484
750,-34.968112624548645,0.2,-0.2104688105344146,-0.05591943235322833,-0.08329288335784353,0.0,100,0.0,0.0,0.0,4.394194707870484
750,-30.64187049185349,0.2,-0.20426101726154092,-0.05068511529266835,-0.05147257236432564,0.0,100,0.0,0.0,0.0,4.394194707870484
750,-44.147207374114124,0.2,-0.3098969129561594,-0.08418517500162125,-0.04738998578336058,0.0,100,0.0,0.0,0.0,4.394194707870484
750,-30.59543883742693,0.2,-0.17995653886683846,-0.05202274361997843,-0.07397510588745244,0.0,100,0.0,0.0,0.0,4.394194707870484
775,-35.04204250681685,0.2,-0.2068272046348297,-0.06311544071882964,-0.08047777971450915,0.0,100,0.0,0.0,0.0,4.4117027950286865
775,-41.879246076437155,0.2,-0.2990173073240565,-0.0539451424740255,-0.06583001096628968,0.0,100,0.0,0.0,0.0,4.4117027950286865
775,-38.227316427978415,0.2,-0.21379679581603828,-0.05724894109368325,-0.11122742737006255,0.0,100,0.0,0.0,0.0,4.4117027950286865
